#,organization-name,city-state,organization-type,position-held,from,to
1,4 Shadow Tree Lane LLC,"New York, NY",LLC,President,9/26/2012,To Date
2,4 Shadow Tree Lane Member Corp,"New York, NY",Corporation,President/Director/Chairman,9/26/2012,To Date
3,40 Wall Development Associates LLC,"New York, NY",LLC,Member & President,4/11/95 & 8/11/03,To Date
4,40 Wall Street Commercial LLC,"New York, NY",LLC,President,8/27/2009,To Date
5,40 Wall Street LLC,"New York, NY",LLC,President,4/23/1998,To Date
6,40 Wall Street Member Corp,"New York, NY",Corporation,President/Director,4/29/1998,To Date
7,3126 Corporation,"New York, NY",Corporation,President/Director,6/1/1999,To Date
8,401 Mezz Venture LLC,"New York, NY",LLC,President,10/1/2004,To Date
9,401 North Wabash Venture LLC,"New York, NY",LLC,Member & President,5/22/02 & 10/1/04,To Date
10,55 Wall Development Corp,"New York, NY",Corporation,President/Director,9/18/1996,10/14/2014
11,767 Manager LLC,"New York, NY",LLC,Member & President,5/28/1998 & 8/2000,11/10/2014
12,809 North Canon LLC,"New York, NY",LLC,President,12/13/2006,To Date
13,809 North Canon Member Corporation,"New York, NY",Corporation,President/Director,12/13/2006,To Date
14,81 Pine Note Holder Inc,"New York, NY",Corporation,President/Director/Secretary,6/30/1999,To Date
15,Aviation Payroll Company,"New York, NY",Corporation,President/Chairman,8/9/2012,To Date
16,B Plaza Realty Corp.,"New York, NY",Corporation,Director/President,7/14/1981,To Date
17,Bedford Hills Corp,"New York, NY",Corporation,Director & President/Treasurer/Secretary,8/3/1995 & 4/16/96,To Date
18,Briar Hall Operations LLC,"New York, NY",LLC,Member,1/9/1997,To Date
19,"Briarcliff Properties, Inc.","New York, NY",Corporation,Director & President/Treasurer/Secretary,1/17/1996 & 4/16/96,To Date
20,Caribusiness MRE LLC,"New York, NY",LLC,Member,3/13/2013,To Date
21,"Caribusiness RE Corp, The","New York, NY",Corporation,Director/Chairman/President,3/12/2015,To Date
22,Chelsea Hall LLC,"New York, NY",LLC,Member,11/22/1995,To Date
23,Chicago Unit Acquisition LLC,"New York, NY",LLC,Member/President,12/15/2005,To Date
24,China Trademark LLC,"New York, NY",LLC,Member/President,6/17/08,To Date
25,Coronet Hall Inc.,"New York, NY",Corporation,Director/Vice President,8/1/1969,To Date
26,Development Member Inc.,"New York, NY",Corporation,President/Secretary & Director,10/24/1996 & 11/4/96,To Date
27,"D B Pace Acquisition, LLC",South Carolina,LLC,Member/President,11/12/2014,To Date
28,D B Pace Acquisition Member Corp,"New York, NY",Corporation,Chairman/President/Director,11/7/2014,To Date
29,DJT Aerospace LLC,"Atlantic City, NJ",LLC,Member/President,6/2/2010,To Date
30,DJ Aerospace (Bermuda) Limited,Bermuda,Foreign Corporation,President/Director,3/9/1994,To Date
31,DJT Entrepreneur Managing Member LLC (f/k/a DJT University Managing Member LLC),"New York, NY",LLC,Member & President,10/25/2004,To Date
32,DJT Entrepreneur Member LLC (f/k/a DJT University Member LLC),"New York, NY",LLC,Member & President,10/25/2004,To Date
33,DJT Holdings LLC,"New York, NY",LLC,Member & President,11/29/2010 & 12/2/2010,To Date
34,DJT Holdings Managing Member LLC,"New York, NY",LLC,Member & President,12/2/2010,To Date
35,DJT Land Holdings Member Corp,"New York, NY",Corporation,President/Director,1/16/2012,To Date
36,DJT Operations I LLC,"Palm Beach, Florida",LLC,Member/President,7/15/2010,To Date
